# start,end,distance 
255,223,0.5
255,147,0.6
255,2,0.4
255,107,2.7
255,144,0.5
223,224,0.4
224,456,0.7
456,384,0.4
384,385,0.3
384,231,0.4
385,185,0.4
185,405,0.4
185,187,0.6
185,414,0.5
185,352,0.3
405,183,0.3
183,182,0.2
183,184,0.4
182,179,0.3
182,355,0.3
179,471,0.4
471,356,0.3
356,259,0.4
259,258,0.3
258,227,0.5
227,455,0.6
455,152,0.4
152,255,0.5
152,147,0.4
152,476,3.06
275,193,0.8
275,322,0.6
275,101,0.6
275,354,0.5
193,188,0.5
188,365,0.5
365,245,0.8
365,242,0.9
365,8,0.4
245,243,0.2
243,487,0.2
487,244,0.3
244,214,1.0
244,242,0.5
214,183,0.5
214,211,0.2
184,275,0.6
322,190,0.5
322,365,0.4
190,491,0.8
491,279,0.8
279,460,0.3
460,58,0.3
460,80,0.3
58,298,0.2
298,446,0.3
446,324,0.4
324,7,1.1
324,275,2.6
7,197,0.6
197,211,0.3
211,276,0.4
211,277,0.4
276,275,0.2
276,354,0.3
112,109,0.4
112,432,0.4
109,112,0.3
313,116,0.9
313,289,0.6
313,465,1.1
116,119,0.3
119,458,0.3
119,305,0.3
458,38,0.3
38,333,0.4
333,346,0.3
333,272,0.5
346,169,0.3
346,450,0.3
169,30,0.5
30,396,0.3
30,127,0.8
396,363,0.6
396,332,0.8
396,107,0.8
363,362,0.4
363,255,2.3
363,205,0.4
363,476,1.05
362,361,0.5
362,327,0.3
361,397,0.4
397,65,0.5
65,380,0.8
65,351,0.3
380,219,0.6
219,273,0.3
273,381,0.5
381,329,0.4
329,468,0.5
468,135,0.5
135,265,0.3
265,235,0.3
235,124,0.4
124,453,0.4
453,260,0.6
260,236,0.2
236,488,0.4
488,375,0.4
375,376,0.2
27,238,0.2
238,237,0.5
237,232,0.3
232,130,0.3
130,429,0.6
130,128,0.3
429,100,0.3
100,246,0.4
246,389,0.3
389,344,0.3
344,0,1.1
0,249,0.4
249,394,0.4
394,103,0.3
103,247,0.5
247,248,0.2
248,3,0.8
248,27,3.53
3,194,0.5
3,374,0.5
194,202,0.5
194,198,0.3
194,254,0.5
202,203,0.3
203,207,0.5
203,107,0.9
207,283,0.5
283,82,0.4
283,57,6.0
283,430,0.5
283,476,2.14
82,157,0.4
157,145,0.3
145,109,0.3
145,272,0.4
145,99,0.3
432,115,0.2
115,75,0.4
115,304,0.6
75,313,0.8
75,304,0.2
75,440,0.3
75,27,8.64
75,476,4.68
153,132,0.5
476,172,0.4
172,114,0.4
172,150,0.4
114,118,0.4
114,113,0.6
118,117,0.4
118,139,0.4
117,89,0.3
89,59,0.2
59,283,0.8
272,352,0.9
272,357,0.2
352,171,0.3
171,185,0.4
171,3,0.3
171,426,0.3
187,393,0.3
393,346,0.3
393,109,0.4
332,36,0.4
36,338,0.2
338,143,0.4
143,148,0.3
143,475,0.5
143,473,0.5
148,178,0.4
178,476,0.2
178,57,7.51
178,255,3.25
178,172,0.18
178,313,5.07
150,149,0.3
149,141,0.4
141,142,0.3
142,143,0.3
475,283,0.7
475,363,0.4
57,396,5.4
57,129,0.3
107,118,0.4
107,148,0.4
139,154,0.3
154,347,0.3
154,152,0.3
347,180,0.4
180,178,0.3
304,465,0.7
304,313,0.6
304,301,0.9
304,116,0.4
304,326,0.8
465,137,0.4
465,105,0.3
465,134,0.5
137,348,0.5
137,151,0.7
137,153,0.5
348,162,0.3
162,412,0.6
162,407,0.6
412,48,0.3
48,483,0.3
483,486,0.3
486,29,0.6
29,43,0.2
29,434,0.4
43,41,0.7
43,304,2.77
41,9,0.6
9,177,0.4
177,278,0.3
177,169,0.5
177,275,0.3
177,255,5.95
278,181,0.3
278,365,0.6
278,255,5.64
181,190,0.4
181,189,0.3
80,10,0.5
10,85,0.3
85,290,0.3
290,302,0.3
302,489,0.2
489,299,0.3
299,49,0.4
49,287,0.1
287,474,0.3
474,478,0.4
478,421,0.3
421,479,0.3
479,400,0.2
400,427,0.2
427,31,0.3
31,417,0.4
